cell_id,pred_phase,pred_age
cell_1787,S,649.1626667
cell_1788,G2,974.5130667
cell_1790,G1,169.1685333
cell_1791,G2,878.3488
cell_1794,G1,135.4010667
cell_1795,G1,173.2453333
cell_1797,G1,150.9109333
cell_1798,G1,197.8165333
cell_1799,G1,168.8912
cell_1801,G1,56.1664
cell_1803,S,388.3472
cell_1804,S,630.8986667
cell_1806,G1,199.9162667
cell_1808,G1,207.3557333
cell_1810,G1,320.8997333
cell_1811,G1,28.6752
cell_1812,G1,188.1952
cell_1813,G1,161.2496
cell_1814,G1,184.1957333
cell_1815,S,604.3056
cell_1820,G2,892.232
cell_1821,G1,161.8325333
cell_1824,G1,129.8890667
cell_1825,G1,46.34506667
cell_1826,S,666.536
cell_1827,G1,247.7290667
cell_1829,G1,166.4112
cell_1830,G2,1101.819733
cell_1832,S,372.9690667
cell_1833,S,401.7205333
cell_1837,G2,844.6677333
cell_1838,S,360.8096
cell_1839,S,976.2554667
cell_1840,G1,150.696
cell_1841,S,532.3178667
cell_1842,G1,158.5824
cell_1844,G1,140.5952
cell_1845,S,588.8586667
cell_1846,G1,158.8784
cell_1848,G1,43.29333333
cell_1849,G1,26.64906667
cell_1853,S,648.0986667
cell_1854,G1,147.0512
cell_1855,S,565.2645333
cell_1856,G1,186.3429333
cell_1858,G1,149.7194667
cell_1860,G1,207.7845333
cell_1862,S,449.2485333
cell_1864,S,633.3941333
cell_1865,G1,140.6912
cell_1867,G1,189.328
cell_1869,G2,932.8261333
cell_1870,G1,111.6208
cell_1872,G1,171.6069333
cell_1874,G1,279.0336
cell_1875,G1,207.8810667
cell_1876,G2,922.2832
cell_1877,G1,185.1797333
cell_1878,S,621.0970667
cell_1879,G1,156.7509333
cell_1880,G1,22.54133333
cell_1882,G1,244.6693333
cell_1884,G2,907.0085333
cell_1887,G1,89.74293333
cell_1888,G1,139.3264
cell_1889,G1,182.7701333
cell_1892,G1,159.2165333
cell_1893,G2,780.6650667
cell_1894,G1,217.4432
cell_1895,G1,94.31413333
cell_1896,G1,329.2912
cell_1898,G1,25.1536
cell_1899,G1,180.3850667
cell_1900,S,387.9248
cell_1901,S,352.808
cell_1903,G1,178.3376
cell_1904,G1,658.1093333
cell_1906,G2,932.9957333
cell_1907,G1,158.2810667
cell_1908,G1,253.9930667
cell_1911,S,452.9824
cell_1913,S,737.896
cell_1914,S,410.8192
cell_1915,G1,271.0794667
cell_1918,G1,258.4485333
cell_1919,S,386.0976
cell_1920,G1,184.4090667
cell_1922,G2,1020.384
cell_1923,G2,991.5045333
cell_1924,G1,15.48373333
cell_1926,G1,291.9962667
cell_1929,G1,113.9872
cell_1931,G1,83.4544
cell_1932,G1,315.1429333
cell_1934,G1,246.9781333
cell_1936,G1,193.3338667
cell_1937,G1,217.1157333
cell_1938,S,780.7013333
cell_1939,G1,237.9962667
cell_1940,G1,206.1018667
cell_1941,G1,170.7370667
cell_1942,G1,21.85173333
cell_1943,S,399.3312
cell_1944,G1,69.99786667
cell_1945,G1,266.5130667
cell_1948,G1,20.88373333
cell_1950,G1,22.81226667
cell_1952,G1,231.8325333
cell_1954,G2,978.6037333
cell_1956,G1,271.8090667
cell_1959,S,614.6032
cell_1961,G2,900.7013333
cell_1962,S,600.3232
cell_1963,G1,156.7477333
cell_1964,G2,1084.445333
cell_1965,G1,149.2341333
cell_1966,G1,169.1434667
cell_1967,G1,78.9456
cell_1969,G1,299.1882667
cell_1970,G1,205.0042667
cell_1974,G1,282.1072
cell_1975,G1,15.47466667
cell_1979,G2,950.2298667
cell_1982,G1,210.7824
cell_1984,S,938.2432
cell_1985,G1,173.3690667
cell_1986,G1,225.2922667
cell_1987,G1,84.0064
cell_1988,S,658.8682667
cell_1993,S,410.7770667
cell_1994,G1,65.712
cell_1996,G1,258.1754667
cell_1997,G1,175.4469333
cell_1998,G1,358.7018667
cell_1999,G1,82.34506667
cell_2002,S,491.1909333
cell_2003,S,347.9269333
cell_2004,G2,946.8197333
cell_2005,S,597.5072
cell_2006,S,514.7802667
cell_2007,S,855.5306667
cell_2008,G1,268.7914667
cell_2015,G1,31.21226667
cell_2016,S,674.024
cell_2017,G1,863.8208
cell_2018,G1,202.2730667
cell_2020,G1,90.55626667
cell_2022,G1,193.6704
cell_2023,G1,136.5888
cell_2024,S,765.6992
cell_2029,S,399.6666667
cell_2030,G1,185.3402667
cell_2032,G2,922.7306667
cell_2033,S,603.0346667
cell_2034,G1,171.1968
cell_2035,G1,245.1285333
cell_2038,G1,197.3797333
cell_2041,G1,297.2581333
cell_2042,G1,201.7648
cell_2043,G1,166.3354667
cell_2046,G1,141.6725333
cell_2047,G1,293.4224
cell_2049,S,630.5696
cell_2050,G1,55.45013333
cell_2051,S,490.2432
cell_2052,G1,66.28853333
cell_2053,G1,181.0117333
cell_2054,G1,133.2181333
cell_2055,G1,228.2234667
cell_2056,G1,423.4016
cell_2057,G1,220.3376
cell_2059,G2,924.4890667
cell_2060,G1,69.42986667
cell_2061,S,404.9936
cell_2063,G2,1050.775467
cell_2064,G2,988.6789333
cell_2066,S,482.7184
cell_2068,G2,947.3781333
cell_2074,G1,228.1408
cell_2075,G2,1048.525867
cell_2077,G1,153.1429333
cell_2078,G1,216.8037333
cell_2079,G1,72.10506667
cell_2082,G1,173.0485333
cell_2084,G1,250.9072
cell_2085,G1,187.7098667
cell_2087,G2,919.5509333
cell_2088,G1,131.9216
cell_2091,S,546.5792
cell_2094,G1,300.1184
cell_2095,G1,163.9930667
cell_2096,G1,16.27573333
cell_2097,S,410.6762667
cell_2098,G1,153.4053333
cell_2099,S,582.8661333
cell_2100,S,674.0064
cell_2104,G1,140.5610667
cell_2106,S,630.1941333
cell_2107,G1,233.1024
cell_2108,S,410.024
cell_2110,G1,192.2832
cell_2112,G1,173.5242667
cell_2113,G1,106.9392
cell_2115,G1,78.02453333
cell_2116,G1,172.4528
cell_2117,S,399.5493333
cell_2119,G1,279.5333333
cell_2120,G1,149.128
cell_2122,S,793.9712
cell_2123,G1,240.0709333
cell_2124,G1,159.8053333
cell_2125,S,713.1909333
cell_2126,G1,145.5066667
cell_2131,G1,136.2789333
cell_2132,G1,152.0208
cell_2134,S,429.0064
cell_2135,G1,357.2629333
cell_2136,G1,150.0506667
cell_2137,G1,94.8784
cell_2139,G1,155.1061333
cell_2140,S,459.5082667
cell_2141,S,445.7488
cell_2142,G1,171.2314667
cell_2145,G1,240.4272
cell_2146,G1,48.97813333
cell_2147,G1,103.1413333
cell_2148,G1,82.95626667
cell_2149,G1,70.98933333
cell_2150,S,557.7552
cell_2152,G1,82.80586667
cell_2153,S,552.4677333
cell_2154,G1,235.1861333
cell_2156,S,607.0544
cell_2157,G1,679.9061333
cell_2159,G1,991.3312
cell_2160,G2,919.4037333
cell_2162,G2,963.6096
cell_2164,G1,6.445333333
cell_2167,G1,156.5141333
cell_2168,S,615.2133333
cell_2169,G1,85.3856
cell_2170,S,493.1888
cell_2172,G1,213.5285333
cell_2174,G1,218.4976
cell_2178,G2,1007.126933
cell_2179,G1,5.213333333
cell_2180,G1,235.9637333
cell_2181,G1,222.8053333
cell_2182,S,355.904
cell_2183,G1,223.4864
cell_2185,G1,902.8672
cell_2186,S,555.5504
cell_2187,G1,948.1856
cell_2188,G1,196.7381333
cell_2189,G2,902.2848
cell_2190,G2,889.7861333
cell_2191,G1,17.77813333
cell_2194,G1,121.5456
cell_2196,G1,135.0165333
cell_2197,S,549.1546667
cell_2198,G2,841.296
cell_2201,S,459.9157333
cell_2202,S,405.2944
cell_2203,G1,199.296
cell_2206,G1,244.9738667
cell_2207,G1,358.7888
cell_2208,S,712.7306667
cell_2211,G1,189.52
cell_2212,G1,222.8128
cell_2213,S,631.6810667
cell_2214,G1,145.2181333
cell_2216,G1,299.5205333
cell_2218,G1,106.2656
cell_2222,G1,217.1936
cell_2223,G1,79.728
cell_2225,G1,167.3797333
cell_2230,S,575.0602667
cell_2231,S,362.8618667
cell_2232,G1,314.9077333
cell_2234,G1,189.4634667
cell_2236,G2,918.5568
cell_2237,G1,203.7861333
cell_2240,G1,206.4197333
cell_2241,G1,177.2826667
cell_2242,S,668.9674667
cell_2243,S,452.3733333
cell_2244,G2,876.0394667
cell_2246,G2,910.4032
cell_2248,G1,67.6656
cell_2249,G1,82.7232
cell_2251,S,707.4613333
cell_2254,G1,178.488
cell_2255,G1,203.8085333
cell_2257,G1,272.032
cell_2258,G2,926.7968
cell_2260,G1,233.5322667
cell_2261,G1,181.4154667
cell_2262,G1,234.1514667
cell_2264,G1,218.0506667
cell_2265,S,375.6608
cell_2266,G1,191.4602667
cell_2268,S,372.0629333
cell_2270,G1,248.1488
cell_2272,G2,1087.880533
cell_2275,G1,169.8938667
cell_2276,G1,318.5552
cell_2277,G1,868.8501333
cell_2278,G1,203.2597333
cell_2279,G1,224.5274667
cell_2280,G2,919.4816
cell_2281,G1,273.2874667
cell_2282,G2,1098.7008
cell_2283,S,373.6581333
cell_2285,G1,281.3674667
cell_2288,G1,929.0176
cell_2291,S,393.5189333
cell_2292,S,857.7290667
cell_2293,G1,227.3253333
cell_2294,G1,178.3642667
cell_2295,G1,169.9296
cell_2297,G1,224.2128
cell_2300,G1,422.7808
cell_2302,G1,186.4976
cell_2303,G1,137.5957333
cell_2305,G1,83.72426667
cell_2307,G1,221.7301333
cell_2311,G1,179.5258667
cell_2313,G2,946.4373333
cell_2314,G1,428.6736
cell_2315,S,409.6677333
cell_2318,G2,884.2693333
cell_2319,G2,1079.376
cell_2320,G1,422.0202667
cell_2321,S,589.5424
cell_2322,S,358.9712
cell_2323,G1,176.5525333
cell_2324,G1,253.4309333
cell_2325,S,608.3781333
cell_2331,G1,753.7008
cell_2333,G1,22.55306667
cell_2334,G1,47.1936
cell_2335,G1,28.11306667
cell_2338,G1,172.6789333
cell_2341,S,566.0976
cell_2342,S,489.4757333
cell_2343,G1,93.9568
cell_2344,S,563.5754667
cell_2345,G1,961.0112
cell_2348,G1,861.0490667
cell_2349,G1,148.5936
cell_2350,G1,177.0597333
cell_2351,G1,211.208
cell_2352,G1,311.2928
cell_2353,G1,19.872
cell_2354,G2,995.9584
cell_2355,S,598.0144
cell_2356,G1,187.592
cell_2357,G1,494.0896
cell_2359,G1,40.21653333
cell_2362,G1,185.3146667
cell_2364,G1,308.2458667
cell_2366,S,796.8074667
cell_2367,G1,95.792
cell_2368,G1,135.2826667
cell_2369,G2,1020.575467
cell_2371,S,637.4597333
cell_2372,G1,174.1984
cell_2373,G1,224.0234667
cell_2374,G1,982.1312
cell_2375,G1,168.7114667
cell_2377,G2,965.1450667
cell_2380,G1,166.9712
cell_2382,G1,144.3541333
cell_2383,G1,73.1648
cell_2384,G1,22.00586667
cell_2385,G1,285.4682667
cell_2386,G1,1025.3888
cell_2388,G1,156.0634667
cell_2390,S,469.0944
cell_2391,G1,114.4197333
cell_2393,S,442.6832
cell_2395,G1,939.9008
cell_2396,G1,169.3466667
cell_2399,G1,183.0421333
cell_2400,G1,102.7754667
cell_2402,G2,913.0821333
cell_2404,G1,87.65333333
cell_2406,G1,216.1770667
cell_2407,S,655.224
cell_2409,G1,65.57226667
cell_2411,S,389.1765333
cell_2412,G1,173.6058667
cell_2415,G1,294.3290667
cell_2417,S,520.6106667
cell_2418,G1,95.2
cell_2419,G1,144.4613333
cell_2421,S,396.12
cell_2423,G1,291.9584
cell_2424,G1,209.3018667
cell_2425,G1,135.2362667
cell_2426,S,654.5461333
cell_2427,G1,122.3424
cell_2428,G1,193.6677333
cell_2429,S,908.0048
cell_2430,S,428.1029333
cell_2431,G1,231.4864
cell_2435,G1,191.208
cell_2436,G1,141.0314667
cell_2437,G1,287.0138667
cell_2438,G1,243.4186667
cell_2441,G1,158.9754667
cell_2442,S,501.4490667
cell_2443,G1,177.5733333
cell_2444,S,646.9306667
cell_2448,G1,110.9664
cell_2451,S,631.0554667
cell_2452,G1,140.7072
cell_2454,G1,223.0954667
cell_2456,G1,326.2682667
cell_2458,G2,845.0309333
cell_2459,G1,249.2266667
cell_2460,G2,884.8469333
cell_2461,S,527.8533333
cell_2462,G2,873.5728
cell_2463,G1,144.5029333
cell_2465,G1,208.5093333
cell_2466,G2,895.984
cell_2468,G1,198.9909333
cell_2469,S,614.8266667
cell_2470,S,662.0432
cell_2474,G1,909.0405333
cell_2477,S,349.4496
cell_2479,G1,250.2613333
cell_2483,G1,254.4890667
cell_2485,G1,257.0453333
cell_2486,G1,810.5018667
cell_2488,S,381.4330667
cell_2490,G1,183.1493333
cell_2491,G1,125.0512
cell_2492,G1,447.2666667
cell_2494,S,432.9744
cell_2495,G1,199.3194667
cell_2497,S,551.5845333
cell_2503,G1,231.0693333
cell_2504,G1,285.7221333
cell_2505,G1,277.9722667
cell_2506,G2,1018.5328
cell_2510,G1,133.0437333
cell_2512,G1,81.312
cell_2516,G1,281.4058667
cell_2517,G1,31.38453333
cell_2518,G2,885.2394667
cell_2519,S,648.5029333
cell_2521,S,471.2416
cell_2522,G1,93.70613333
cell_2523,G2,1042.544533
cell_2524,G1,779.2885333
cell_2525,G1,25.14506667
cell_2526,G1,252.5898667
cell_2531,S,631.3450667
cell_2532,G1,80.55626667
cell_2533,G1,454.7056
cell_2534,G1,239.472
cell_2535,G1,206.6058667
cell_2537,S,569.6005333
cell_2538,G1,206.1370667
cell_2542,G1,155.1925333
cell_2543,G1,76.1728
cell_2544,G1,318.8453333
cell_2545,G1,322.7104
cell_2547,G2,980.6442667
cell_2548,S,656.9285333
cell_2551,S,705.0554667
cell_2552,G1,175.5445333
cell_2553,G1,149.4954667
cell_2554,G1,39.16586667
cell_2556,G2,1008.5744
cell_2557,G1,185.5541333
cell_2559,S,730.6986667
cell_2560,G1,339.8650667
cell_2561,G1,152.5205333
cell_2562,S,543.9456
cell_2563,G1,40.28906667
cell_2569,G1,1027.554667
cell_2570,G1,187.7776
cell_2571,G1,162.7984
cell_2573,G1,332.8442667
cell_2574,G1,258.4773333
cell_2575,S,470.4618667
cell_2576,S,813.7386667
cell_2577,G1,308.8976
cell_2578,G1,170.6581333
cell_2579,S,665.8224
cell_2581,G1,358.4864
cell_2582,G1,172.4650667
cell_2583,G1,201.2394667
cell_2584,S,614.1296
cell_2586,G1,147.6762667
cell_2587,G2,861.6181333
cell_2588,S,686.0597333
cell_2589,G1,188.7226667
cell_2590,G2,948.1066667
cell_2594,G1,271.7194667
cell_2595,G1,25.59946667
cell_2596,G1,167.8917333
cell_2597,G1,181.5984
cell_2598,S,651.5509333
cell_2599,S,366.5056
cell_2600,S,475.5445333
cell_2601,G1,188.2272
cell_2603,G1,130.9445333
cell_2604,G1,202.9104
cell_2605,S,610.4101333
cell_2608,S,551.6933333
cell_2609,G1,311.2576
cell_2610,G1,259.5077333
cell_2611,S,635.8362667
cell_2612,S,504.9045333
cell_2613,S,529.7568
cell_2619,G1,334.2010667
cell_2620,G2,943.7072
cell_2621,S,375.1285333
cell_2622,G1,765.9472
cell_2625,G1,263.0864
cell_2626,G2,866.7733333
cell_2628,G2,1073.24
cell_2630,G2,997.3770667
cell_2631,G1,175.2272
cell_2635,G1,240.0650667
cell_2637,S,553.9824
cell_2638,G1,667.5125333
cell_2640,G1,158.2506667
cell_2642,G1,134.5509333
cell_2644,S,679.5952
cell_2645,S,600.8901333
cell_2646,G1,133.9472
cell_2649,G1,367.1968
cell_2650,G1,1006.173333
cell_2651,G1,275.5098667
cell_2653,G1,292.1568
cell_2655,G1,24.37066667
cell_2656,S,598.9584
cell_2657,S,615.1584
cell_2658,S,597.1269333
cell_2660,G1,255.0016
cell_2661,S,701.4869333
cell_2662,S,401.5632
cell_2667,G1,26.73706667
cell_2668,G1,259.2485333
cell_2669,G1,217.4837333
cell_2672,S,946.5024
cell_2676,S,496.64
cell_2678,G1,275.5152
cell_2679,G2,1051.087467
cell_2680,G2,914.3616
cell_2681,G1,249.2442667
cell_2682,S,656.9146667
cell_2684,G1,263.8874667
cell_2685,G2,998.4442667
cell_2686,G1,258.9216
cell_2687,S,571.6970667
cell_2688,S,369.7450667
cell_2689,S,518.1658667
cell_2690,G1,149.8512
cell_2691,G1,184.2229333
cell_2694,G1,276.6656
cell_2696,G1,201.9450667
cell_2697,G1,206.0517333
cell_2699,G1,175.1962667
cell_2700,G1,139.2282667
cell_2701,S,615.4405333
cell_2702,S,390.9616
cell_2704,G1,196.6096
cell_2705,S,603.8224
cell_2707,G1,186.4624
cell_2708,G1,272.1914667
cell_2709,G2,953.7498667
cell_2710,G1,177.6096
cell_2711,G1,149.5690667
cell_2712,G2,1002.600533
cell_2713,G2,1000.893867
cell_2717,G1,256.6858667
cell_2718,S,524.4485333
cell_2719,S,498.9141333
cell_2720,S,677.832
cell_2721,G1,68.0304
cell_2722,S,636.648
cell_2723,G2,991.0330667
cell_2724,G1,311.1333333
cell_2725,S,605.5312
cell_2726,G1,187.9306667
cell_2727,G2,1013.565333
cell_2728,G1,149.1269333
cell_2729,G1,119.0053333
cell_2730,G1,479.608
cell_2731,G1,147.2501333
cell_2733,S,494.3061333
cell_2734,S,693.9962667
cell_2736,S,677.1776
cell_2737,S,616.8885333
cell_2739,G1,134.7973333
cell_2742,S,549.2154667
cell_2743,S,401.6261333
cell_2745,G1,311.2368
cell_2746,S,676.5232
cell_2747,G1,73.89066667
cell_2748,G1,285.8314667
cell_2749,G2,984.8165333
cell_2751,S,412.8538667
cell_2752,G1,611.8464
cell_2753,S,536.3968
cell_2754,G2,874.9082667
cell_2755,S,451.7648
cell_2756,S,624.8389333
cell_2757,S,467.0106667
cell_2758,S,715.8192
cell_2759,S,697.6816
cell_2760,G1,233.2746667
cell_2761,S,669.768
cell_2762,G1,339.3525333
cell_2763,S,619.9893333
cell_2764,G1,212.3429333
cell_2765,G1,77.24
cell_2766,G1,124.8410667
cell_2767,G1,21.264
cell_2768,G1,4.716266667
cell_2769,G1,79.44533333
cell_2770,S,510.1061333
cell_2771,G1,214.376
cell_2772,S,455.8885333
cell_2773,G1,251.2378667
cell_2774,G1,277.4128
cell_2775,G1,282.4554667
cell_2776,G1,134.4122667
cell_2777,G1,535.8954667
cell_2778,G1,212.2032
cell_2779,G1,261.6128
cell_2780,S,432.4304
cell_2781,G1,244.5450667
cell_2782,G1,233.5605333
cell_2783,S,499.6394667
cell_2784,G2,1056.076267
cell_2785,G2,933.3728
cell_2786,S,438.1658667
cell_2787,S,675.6325333
cell_2788,S,434.0128
cell_2789,G1,202.2208
cell_2790,G1,254.0474667
cell_2791,G1,113.6128
cell_2792,G1,152.8224
cell_2793,G1,251.9221333
cell_2794,S,458.7301333
cell_2795,G2,1013.871467
cell_2796,G1,228.392
cell_2797,S,386.9034667
cell_2798,G1,193.0826667
cell_2799,G2,1036.450667
cell_2800,G1,155.3141333
cell_2801,G1,217.7792
cell_2802,G1,141.9856
cell_2803,S,654.8709333
cell_2804,G1,129.8261333
cell_2805,G1,12.18186667
cell_2806,G1,193.7989333
cell_2807,G1,230.9552
cell_2808,G1,274.8565333
cell_2809,G1,251.2266667
cell_2810,G2,880.6794667
cell_2811,G2,1016.194667
cell_2812,S,567.2592
cell_2813,G1,189.8464
cell_2814,G2,976.368
cell_2815,G1,236.0224
cell_2816,G1,246.328
cell_2817,G2,977.9402667
cell_2818,G1,220.9685333
cell_2819,G1,222.8816
cell_2820,G1,128.1408
cell_2821,G1,27.88426667
cell_2822,S,691.3072
cell_2823,G1,217.2138667
cell_2824,G1,310.5328
cell_2825,G1,222.536
cell_2826,S,613.6688
cell_2827,G1,242.4864
cell_2828,G1,189.2997333
cell_2829,G1,188.5637333
cell_2830,S,603.9669333
cell_2831,G1,160.7098667
cell_2832,S,582.6698667
cell_2833,G2,927.2117333
cell_2834,G1,129.1130667
cell_2835,G1,602.0864
cell_2836,S,571.392
cell_2837,G1,13.3456
cell_2838,G1,188.8053333
cell_2839,G1,222.3866667
cell_2840,G1,230.8938667
cell_2841,G1,177.416
cell_2842,G1,273.2597333
cell_2843,S,599.9274667
cell_2844,G1,210.3893333
cell_2845,G2,966.4437333
cell_2846,G2,876.4010667
cell_2847,G1,177.8896
cell_2848,G2,1048.774933
cell_2849,G1,194.2613333
cell_2850,G2,870.4816
cell_2851,G1,72.71893333
cell_2852,S,615.1322667
cell_2853,S,435.464
cell_2854,S,667.7114667
cell_2855,G1,180.0293333
cell_2856,G1,142.2634667
cell_2857,G1,167.7941333
cell_2858,G1,223.1269333
cell_2859,S,521.5594667
cell_2860,G1,217.3573333
cell_2861,S,415.2469333
cell_2862,G1,1177.105067
cell_2863,G1,365.2336
cell_2864,G1,215.3834667
cell_2865,G1,5.538666667
cell_2866,S,489.2528
cell_2867,G1,14.81653333
cell_2868,G1,1017.756267
cell_2869,G1,199.1594667
cell_2870,G1,191.7546667
cell_2871,G1,1032.8352
cell_2872,G1,200.6357333
cell_2873,G1,128.1424
cell_2874,G1,250.6906667
cell_2875,G1,141.096
cell_2876,G2,932.6698667
cell_2877,S,644.4554667
cell_2878,G1,235.7269333
cell_2879,G1,39.5472
cell_2880,G1,69.75573333
cell_2881,G1,216.9845333
cell_2882,G1,180.3781333
cell_2883,G1,108.0069333
cell_2884,G1,247.2416
cell_2885,G1,33.208
cell_2886,G1,167.7914667
cell_2887,G2,838.7808
cell_2888,G1,43.82293333
cell_2889,G1,259.1328
cell_2890,S,735.5898667
cell_2891,G1,102.7216
cell_2892,G1,470.0890667
cell_2893,G2,919.4261333
cell_2894,S,418.368
cell_2895,G1,292.9088
cell_2896,S,468.3621333
cell_2897,G1,20.5824
cell_2898,G1,179.7536
cell_2899,S,386.5658667
cell_2900,G1,232.7552
cell_2901,G1,214.0352
cell_2902,S,357.9637333
cell_2903,S,615.4085333
cell_2904,G1,112.7114667
cell_2905,G1,89.35893333
cell_2906,S,710.9781333
cell_2907,G1,202.2138667
cell_2908,S,448.0085333
cell_2909,S,626.3221333
cell_2910,S,622.816
cell_2911,G1,168.4256
cell_2912,G1,162.6042667
cell_2913,S,470.9744
cell_2915,G1,220.3418667
cell_2916,G2,992.9594667
cell_2917,S,762.0768
cell_2918,S,396.0794667
cell_2919,S,556.4576
cell_2920,G1,250.808
cell_2921,G2,947.7136
cell_2922,S,421.5104
cell_2924,G2,1021.8192
cell_2925,G2,941.0944
cell_2926,G1,143.8362667
cell_2927,S,676.6069333
cell_2928,S,395.5386667
cell_2929,G1,249.6597333
cell_2930,G1,205.9184
cell_2931,G1,94.5808
cell_2932,G1,299.2288
cell_2933,G1,181.7754667
cell_2934,G1,26.41013333
cell_2935,G1,243.3893333
cell_2936,G1,380.9424
cell_2937,G1,162.3989333
cell_2938,G2,924.7717333
cell_2939,S,591.2469333
cell_2940,S,498.3525333
cell_2941,S,792.6410667
cell_2942,G2,921.3541333
cell_2943,S,775.9306667
cell_2944,G1,103.9434667
cell_2945,G1,276.3824
cell_2946,G1,986.0090667
cell_2947,G1,157.84
cell_2948,G1,34.544
cell_2949,G1,48.45386667
cell_2950,G1,243.4624
cell_2951,G1,123.472
cell_2952,G1,144.3813333
cell_2953,S,666.9706667
cell_2954,G1,208.7877333
cell_2955,G2,1047.378133
cell_2956,G1,252.656
cell_2957,G1,747.4544
cell_2958,G1,233.4773333
cell_2959,G1,182.9157333
cell_2960,S,706.496
cell_2961,G1,243.9621333
cell_2962,G1,145.9312
cell_2963,G2,955.9477333
cell_2964,S,633.8464
cell_2965,G2,991.0410667
cell_2966,G1,362.8842667
cell_2967,S,635.7066667
cell_2968,G1,237.4794667
cell_2969,G1,263.3002667
cell_2970,S,713.8154667
cell_2971,G1,294.7936
cell_2972,S,438.8581333
cell_2973,G1,331.5066667
cell_2974,G1,150.5829333
cell_2975,G2,1103.649067
cell_2976,G1,141.4592
cell_2977,G1,159.7648
cell_2978,G2,935.0293333
cell_2979,S,470.1146667
cell_2980,G2,945.0826667
cell_2981,S,440.2666667
cell_2982,S,527.9424
cell_2983,G2,1017.126933
cell_2984,G1,182.2202667
cell_2985,G1,204.3386667
cell_2986,G1,120.6512
cell_2987,G1,197.7941333
cell_2988,G1,42.904
cell_2989,G1,381.7792
cell_2990,G1,28.12266667
cell_2991,S,539.3141333
cell_2992,S,391.8458667
cell_2993,G1,62.20746667
cell_2994,G1,55.47733333
cell_2995,S,705.8485333
cell_2996,S,582.1536
cell_2997,G1,22.0224
cell_2998,G1,259.3856
cell_2999,S,777.1648
cell_3000,G2,991.6570667
cell_3001,G1,317.3344
cell_3002,G1,36.176
cell_3003,G2,1036.6624
cell_3004,G1,134.9546667
cell_3005,G2,1121.918933
cell_3006,S,603.6944
cell_3007,G1,194.4288
cell_3008,S,613.0853333
cell_3009,S,625.2933333
cell_3010,G1,21.35146667
cell_3011,S,478.6213333
cell_3012,G1,31.5168
cell_3013,G1,285.7034667
cell_3014,S,546.3248
cell_3015,S,663.1973333
cell_3016,G1,208.6405333
cell_3017,G1,306.7877333
cell_3018,G2,866.9221333
cell_3019,G2,974.888
cell_3020,S,598.1594667
cell_3021,S,598.9024
cell_3022,S,424.4570667
cell_3023,G1,223.2970667
cell_3024,G1,30.64693333
cell_3025,G1,245.3088
cell_3026,G1,207.1973333
cell_3027,G2,946.4384
cell_3028,G1,211.2544
cell_3029,G1,225.2741333
cell_3030,S,513.7008
cell_3031,S,739.4624
cell_3032,S,659.9418667
cell_3033,S,642.3973333
cell_3034,S,400.128
cell_3035,S,605.464
cell_3036,S,620.8256
cell_3037,G1,210.9376
cell_3038,G2,986.4842667
cell_3039,G1,86.2816
cell_3040,G1,772.544
cell_3041,S,460.0944
cell_3042,S,610.0442667
cell_3043,G1,178.0826667
cell_3044,S,594.1653333
cell_3045,G1,238.7749333
cell_3046,G1,306.704
cell_3047,S,647.9632
cell_3048,G2,990.9898667
cell_3049,S,397.1776
cell_3050,G1,266.1066667
cell_3051,G1,207.1050667
cell_3052,G1,9.279466667
cell_3053,G1,214.0762667
cell_3054,G1,163.9605333
cell_3055,G1,211.4224
cell_3056,S,612.264
cell_3057,G1,14.01173333
cell_3058,G1,218.4245333
cell_3059,S,804.2208
cell_3060,G1,312.5008
cell_3061,G1,124.0805333
cell_3062,G1,120.4746667
cell_3063,G1,587.2522667
cell_3064,G2,999.5109333
cell_3065,G1,215.1402667
cell_3066,G1,63.97013333
cell_3067,G1,90.04426667
cell_3068,G1,165.1365333
cell_3069,G1,799.5824
cell_3070,G1,275.3317333
cell_3071,S,425.3674667
cell_3072,S,807.4762667
cell_3073,G1,201.3157333
cell_3074,G1,235.4656
cell_3075,S,612.1456
cell_3076,G1,283.3242667
cell_3077,S,486.4714667
cell_3078,G1,364.3541333
cell_3079,G1,121.3904
cell_3080,S,458.1584
cell_3081,S,731.1370667
cell_3082,G1,837.3194667
cell_3083,G1,260.8976
cell_3084,S,575.2373333
cell_3085,S,698.4752
cell_3086,G1,600.2794667
cell_3087,S,612.6501333
cell_3088,G2,895.6938667
cell_3089,G1,4.605866667
cell_3090,G2,958.1317333
cell_3091,G1,204.3722667
cell_3092,S,500.2458667
cell_3093,S,675.2213333
cell_3094,G1,190.0117333
cell_3095,G1,5.676266667
cell_3096,G1,127.2426667
cell_3097,G1,269.7429333
cell_3098,G1,259.6010667
cell_3099,G1,185.0901333
cell_3100,G1,160.1226667
cell_3101,G1,252.208
cell_3102,G1,218.5909333
cell_3103,G1,605.4533333
cell_3104,G1,133.4997333
cell_3105,S,491.3264
cell_3106,G1,62.464
cell_3107,G1,3.184533333
cell_3108,S,724.5184
cell_3109,S,410.9930667
cell_3110,G1,232.2570667
cell_3111,G1,111.7317333
cell_3112,G1,182.7797333
cell_3113,G1,172.752
cell_3114,G2,843.8325333
cell_3115,S,382.8394667
cell_3116,G1,895.5488
cell_3117,G1,190.5674667
cell_3118,G1,218.9909333
cell_3119,S,475.3861333
cell_3120,G2,957.5189333
cell_3121,S,742.6032
